sentence,aspectTerm,opinionPhrase,polarity
"With awesome graphics and assuring security, it's perfect!",graphics,awesome,positive
I would recommend this laptop to anyone looking to get a new laptop who is willing to spend a little more money to get great quality!,quality,great,positive
The built-in webcam is great for Skype and similar video-chat services.,built-in webcam,great,positive
"Crisp screen, great battery life, and plenty of storage.",battery life,great,positive
"I love this program, it is superior to windows movie maker.",program,love,positive
"The cover for the DVD drive soon came off, too--a mark of poor construction quality.",construction quality,poor,negative
"While Apple's saving grace is the fact that they at least stand behind their products, and their support is great, it would be nice if their products were more reliable to justify the premium.",support,great,positive
"I love the solid machined aluminum frame, and the keyboard is the best of any laptop I've used.",machined aluminum frame,love,positive
The display is beyond horrible.,display,horrible,negative
I like how the Mac OS is so simple and easy to use.,Mac OS,like,positive
/ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...,grafics card,better,positive
This laptop meets every expectation and Windows 7 is great!,Windows 7,great,positive
Summary: HP knew they were shipping out bad BIOS and did nothing proactive to resolve it.,BIOS,bad,negative
Now for the hardware problems.,hardware,problems,negative
"I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.",windows 7 home premium,love,positive
I especially like the keyboard which has chiclet type keys.,keyboard,like,positive
The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.,warrentys,problems,negative
I'm already hooked on the sleek look and dependability that this laptop has shown.,look,sleek,positive
Good monitor and performed well.,monitor,good,positive
Seems like maybe a bad shipment from Toshiba.,shipment,bad,negative
Excellent speed for processing data.,speed,excellent,positive
"I was loving this Netbook because it had an amazing screen and display and was small and light, but after 1 week it stopped openning web pages for me (even after installing new browsers) then eventually it just started giving me a blue screen and crashing everytime I booted it.",screen,amazing,positive
The battery life is great.,battery life,great,positive
"The Unibody construction is solid, sleek and beautiful.",Unibody construction,solid,positive
"Three, the mac book has advantages over pcs' with linux based os there is very 'few problems with system performance when it comes to a mac.",system performance,problems,negative
I especially like the backlit keyboard.,backlit keyboard,like,positive
There are so many wonderful features and benefits to the new MacBook!,features,wonderful,positive
"Screen is awesome, battery life is good.",battery life,awesome,positive
Really like the textured surface which shows no fingerprints.,surface,really like,positive
Mostly I love the drag and drop feature.,drag and drop feature,love,positive
The screen is very large and crystal clear with amazing colors and resolution.,colors,amazing,positive
"But sitting on a lap or on a desk in front of you it looks more than big enough (this could be because Im used to my Lenovo 10 tablet now) plus this is a great size if I want to unplug the external keyboard, mouse, and monitor to take it with me when I take photos and video.",size,great,positive
This laptop is a great price and has a sleek look.,price,great,positive
"However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.",mouse pad,easy,positive
I thought the price was great for the specs.,price,great,positive
My macbook is so much better looking and so thin!,looking,better,positive
  since then i have had minor problems with slow operation.,operation,slow,negative
3) Horrible customer support,customer support,horrible,negative
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",GUI,extremely stable,positive
Other than that its a great performing machine and well meets all my needs and more.,performing,great,positive
"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.",use,good,positive
It has a lot of memory and a great battery life.,battery life,great,positive
"I use iphoto all the time, which is a great program for anyone who is into photography - amateurs and experts alike.",program,great,positive
This laptop is a great price and has a sleek look.,look,sleek,positive
and they replaced the awesome ergonomic small lightweight power supply with a power supply that weighed more than the machine itself.,power supply,lightweight,positive
"We love the size of the screen, although it is still lightweight and very easy to tote around.",size of the screen,love,positive
I love WIndows 7 which is a vast improvment over Vista.,WIndows 7,love,positive
The ease of set up was terrific.,set up,terrific,positive
"I was originally concerned that I couldn't view work I had done in college on my Mac because of the PC formatting, but I was even more thrilled to learn of programs like iLife and iWork that allow you to convert your PC documents into readable files on Macs.",iWork,like,positive
"I love the solid machined aluminum frame, and the keyboard is the best of any laptop I've used.",keyboard,best,positive
Awesome graphics!,graphics,awesome,positive
I liked the aluminum body.,aluminum body,liked,positive
I also liked the glass screen.,glass screen,liked,positive
I charge it at night and skip taking the cord with me because of the good battery life.,battery life,good,positive
The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.,size,perfect,positive
The processor is very quick and effective as I load webpages and applications.,processor,very quick,positive
but now i have realized its a problem with this brand.,brand,problem,negative
I took off a star because the machine has a lot of junk software on it.,software,junk,negative
"this computer will last you at least 7 years, thats an amazing life spanned an electronic.",life,amazing,positive
Lightweight and the screen is beautiful!,screen,beautiful,positive
"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",functions,great,positive
"I love its solid build, light wt and excellent battery life (for now).",battery life,excellent,positive
The screen shows great colors.,colors,great,positive
"The delivery was fast, and I would not hesitate to purchase this laptop again.",delivery,fast,positive
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",iChat,like,positive
"The price is great for this model, I only plan on using it for media in the entertainment room.",price,great,positive
so in a brief summary i would have to say that i would not recommend dell vostro 1000 to anyone due to it being a down right awful setup so in my opinion you should steer clear of them if you want a decent laptop.,setup,awful,negative
iPhotos is an excellent program for storing and organizing photos.,program,excellent,positive
Love the stability of the Mac software and operating system.,stability,love,positive
"Overall, this laptop is definitely a keeper with its simple yet stylish design and its array of fantastic colors to choose from.",colors,fantastic,positive
True quality at a great price!,price,great,positive
Iphoto is great for adding pictures right to facebook and other social networking sites.,Iphoto,great,positive
"No temporary replacement, they are out of replacements because ""many computers had problems with the Nvidia chipset""-Inquired status of repair.",Nvidia chipset,problems,negative
They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.,proprietary software,excellent,positive
Amazing Quality!,Quality,amazing,positive
super fast processor and really nice graphics card..,processor,fast,positive
Screen size is perfect for portable use in any environment.,Screen size,perfect,positive
"I also love the small, convenient size of my laptop, making it a perfect tool for my academic studies.",size,convenient,positive
"Love the graphics, awesome programs (including Garageband), and really cool default background.",programs,awesome,positive
"As a user of a PC, I will will admit that the macBook Pro has a better running system in which I found myself ""Getting the job done quicker.",running system,better,positive
This is a great value for the money.,value,great,positive
"Love the graphics, awesome programs (including Garageband), and really cool default background.",graphics,love,positive
I hate the display screen and I have done everything I could do the change it.,display screen,hate,negative
All I will say now is that it was over two grand less expensive and so much better quality than my hunk of crap Vaio.,quality,better,positive
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,hard disc,problem,negative
"Great value, fast delivery- Computer works as if brand new, no problems, very pleased",value,great,positive
I highly recommend this laptop to anybody that wants great performance from a laptop and would like to relax and not become enraged cursing the gods about to throw your laptop out the door.,performance,great,positive
"This laptop looks great on the surface: 17"" inch screen, good  price-point, nice appearance, boots up quickly, runs fast etc.",price-point,good,positive
The keyboard feels good and I type just fine on it.,keyboard,good,positive
Everything from the design to the OS is simple and to the point.,OS,simple,positive
"The computer itself was fast, ran smoothly, and had no problems.",ran,fast,positive
Tech support tells me the latter problem is a power supply problem and have offered to fix it if it happens again.,power supply,problem,negative
/ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...,cooling system,awesome,positive
"The screen is a little glary, and I hated the clicking buttons, but I got used to them.",clicking buttons,hated,negative
"However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.",size,great,positive
"As with any laptop not purchased with software options, it comes with a lot of what I consider useless applications.",applications,useless,negative
"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",dock,love,positive
in May I started having problems with the USB ports not working.,USB ports,problems,negative
I personally like the gaming look but needed a machine that delivered gaming performance while still looking professional in front of my customers.,gaming look,like,positive
"However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.",features,fantastic,positive
"But after using it a couple of weeks, the overall operation is poor.",operation,poor,negative
"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",iphoto,like,positive
"Great value, fast delivery- Computer works as if brand new, no problems, very pleased",delivery,fast,positive
Very fast boot up and shut down.,boot up,very fast,positive
GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,PROCESSING,fast,positive
It's still beautiful and has better color reproduction than I could ever expect from a notebook.,color reproduction,better,positive
"I love its solid build, light wt and excellent battery life (for now).",build,love,positive
"Garageband is easy to work with, like all the other apple applications I've had experience with.",Garageband,easy,positive
"Laptop was in new condition and operational, but for the audio problem when 1st sent for repair.",audio,problem,negative
"Great product, very easy to use and great graphics.",graphics,great,positive
"Besides the great look, it is a great machine.",look,great,positive
"Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip? As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.",DVD burner,love,positive
Registration/1st use is easy.,use,easy,positive
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,connector,bad,negative
Strong performance in this device makes use of fun and a strong sense of the era of speed This device serves all modern requirements is a very strong game and is very useful for designers.,performance,strong,positive
Wonderful zooming.,zooming,wonderful,positive
"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",feature,great,positive
  Taking it back to Best Buy I found that a tiny plastic piece inside had broken (manuf issue).,manuf,broken,negative
"The PhotoBooth is a great program, it takes very good pictures with the built-in camera.",PhotoBooth,great,positive
"  And at one point, they blame me for installing a bad memory stick when I upgrade my memory for the first time during my purchase of the laptop (I bought the memory stick they recomended).",memory stick,bad,negative
"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",Vista,problems,negative
The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,computing,heavy,negative
also it comes with very useful applications like iphoto that it is the best photo application i have ever had,applications,very useful,positive
"Fast, great visual!",visual,great,positive
